Comment,Designator,Footprint,LCSC,Quantity
.1,"RLED3,RLED4",R_0805_2012Metric,C25334,2
1,RLED5,R_0805_2012Metric,C25271,1
100nf,"C2,C4,C5",C_0805_2012Metric,C28233,3
10k,R1,R_0805_2012Metric,C17414,1
10uf,"C3,C6,C7",C_0805_2012Metric,C15850,3
1uf,C8,C_0805_2012Metric,C28323,1
2.2,"RLED1,RLED2",R_0805_2012Metric,C17521,2
22uf,C9,C_0805_2012Metric,C45783,1
4.7uf,C1,C_0805_2012Metric,C1779,1
53261-4002,J3,532614002,C17559503,1
AH8503-FDC-7,"HALL1,HALL2",DFN-6-1EP_2x2mm_P0.65mm_EP1.01x1.7mm,C842150,2
Conn_01x04_MountingPin,J2,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,C160404,1
SSSS811101,Switch1,SSSS811101,C97433,1
SW_Push,SW1,SW_TS-1088-AR02016,C720477,1
TLV70019DDCR,LDO1.9,SOT95P280X110-5N,C2862411,1
TMAG5170A2QDGKR,"3DHALL1,3DHALL2",SOP65P490X110-8N,C3716101,2
Conn_01x05_Shielded,J1,PinHeader_1x05_P2.54mm_Vertical,,1
nice_nano,U2,nice_nano,,1
