Designator,Footprint,Quantity,Value,LCSC Part #
3DHALL1,SOP65P490X110-8N,1,TMAG5170A2QDGKR,
3DHALL2,SOP65P490X110-8N,1,TMAG5170A2QDGKR,C3716101
C1,0805,1,4.7uf,C1779
"C10, C11, C12, C13, C14",0805,5,100nf,
"C2, C4, C5",0805,3,100nf,C28233
"C3, C6, C7",0805,3,10uf,C15850
C8,0805,1,1uf,C28323
C9,0805,1,22uf,C45783
"HALL1, HALL2",DFN-6-1EP_2x2mm_P0.65mm_EP1.01x1.7mm,2,AH8503-FDC-7,
J2,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,1,Conn_01x04_MountingPin,C160404
J3,532614002,1,Bat,C17559503
LDO1.9,SOT95P280X110-5N,1,TLV70019DDCR,C2862411
OPTICALSENSOR1,DIP-16_PAW3395,1,PAW3395,C41346211
R1,0805,1,10k,C17414
"RL1, RL2",0805,2,2.2,C17521
"RL3, RL4",1206,2,.1,
RL5,0805,1,1,C25271
SW1,SW_TS-1088-AR02016,1,SW_Push,C720477
SWITCH1,SSSS811101,1,SSSS811101,C97433
U2,nice_nano,1,nice_nano,
