Designator,Mid X,Mid Y,Rotation,Layer
1.9V_LDO1,195.5,-92.0,270.0,top
C1,194.75,-100.25,270.0,top
C2,197.25,-100.25,270.0,top
C3,194.25,-86.25,90.0,top
C4,197.5,-87.25,0.0,top
C5,202.5,-92.5,90.0,top
C6,204.75,-92.5,90.0,top
C7,199.75,-91.75,270.0,top
C8,194.75,-96.0,270.0,top
CONECTIONSELECT1,199.43246,-118.243332,270.0,top
HALL1,195.9725,-81.4,270.0,top
HALL2,171.9725,-81.4,270.0,top
J1,193.25,-128.25,0.0,top
J2,174.75,-118.0,0.0,top
J3,183.25,-111.0,180.0,top
OPTICALSENSOR1,183.599999,-93.745001,180.0,top
R1,172.0,-96.5,180.0,top
RLED1,173.0,-100.0,270.0,top
SWITCH1,183.62,-80.345,180.0,top
U2,183.5,-96.11,270.0,top
WHEEL1,167.960863,-118.243332,270.0,top
